Siruta,X_c1,X_c2
33658,-0.17793779136453713,-0.0004964090089808078
33729,-0.19607459583418393,-0.0004963565102330983
33765,-0.1798576783241619,-0.000496403451680948
33845,-0.23867974687436774,-0.0004962331854721676
33881,-0.23255244806705466,-0.000496250921535582
33952,-0.226956181823042,-0.0004962671204734838
33989,-0.06356154696135907,-0.0004967400821645272
34075,-0.16829750790769785,-0.0004964369137205706
34155,-0.17904070514985346,-0.0004964058164894046
34173,-0.12883770358860142,-0.0004965511339689625
34235,-0.021324033849614038,-0.0004968623427616605
34262,-0.17189218987465485,-0.0004964265085633661
34280,-0.08206598935944467,-0.0004966865192530209
34333,-0.02156912580190656,-0.0004968616333191253
34360,-0.2115562374873284,-0.0004963116971128792
34397,-0.16935957303429877,-0.0004964338394695712
34422,-0.2435407372615028,-0.0004962191148618617
34477,-0.2269970304817574,-0.0004962670022330593
34547,-0.1307984392069416,-0.0004965454584286734
34618,-0.1416641824252435,-0.000496514006476221
34645,-0.16270124166368521,-0.0004964531126584933
34690,-0.09967176126579101,-0.0004966355576308076
34770,-0.188313350678254,-0.0004963789759134259
34850,-0.1767123316030745,-0.0004964125561934917
34903,-0.1349241537371991,-0.0004965335161459657
34985,-0.04468946663483469,-0.0004967947092398482
35054,-0.03500833451927998,-0.0004968227322200367
35090,-0.013603637352399516,-0.000496884690201563
35152,-0.1430530368215678,-0.0004965099863018378
35269,-0.13324935872986685,-0.0004965383640033013
35312,-0.20518384672772275,-0.000496330142618841
35429,-0.13757931655370143,-0.0004965258305184961
35731,4.7162217066474525,-0.0005105756305123312
35759,-0.06507294733382964,-0.0004967357072688928
35839,-0.08615085523098673,-0.0004966746952107527
35884,-0.13639470545095422,-0.0004965292594907542
35946,0.23753391643000712,-0.0004976116323206567
36006,0.9952356869423463,-0.0004998048739223657
36060,0.04599455571339934,-0.000497057202978372
36131,-0.0003686719286031929,-0.0004969230000985392
36202,-0.12646848138310698,-0.0004965579919134786
36300,-0.07789942617047176,-0.0004966985797761427
36373,-0.19856636401582461,-0.0004963492975673177
36426,-0.14215436632982856,-0.0004965125875911413
36453,-0.06368409293750533,-0.0004967397274432622
36499,-0.1370891326491164,-0.0004965272494035655
36532,-0.20775731222679428,-0.0004963226934721928
36569,-0.10596245470796578,-0.0004966173486057158
36649,-0.20939125857541108,-0.0004963179638552841
36676,-0.19538016863602178,-0.0004963585203203044
36756,-0.008824344282695297,-0.0004968985243310212
36809,-0.08353654107319981,-0.0004966822625977977
36907,-0.08288296253375307,-0.0004966841544445735
36952,-0.12377246990788925,-0.0004965657957813843
37011,-0.15302010954813047,-0.0004964811356386993
37057,-0.16086305202149126,-0.0004964584334775249
37100,-0.17703912087279788,-0.0004964116102701043
37173,-0.17507838525445768,-0.0004964172858104003
37217,-0.1193608147666238,-0.0004965785657470385
37280,0.20285340518061495,-0.0004975112462017634
37324,-0.035988702328450084,-0.0004968198944498859
37397,-0.15199889308024495,-0.0004964840916492603
37459,-0.14064296595735798,-0.0004965169624867924
37547,-0.09468822490250968,-0.0004966499829623872
37618,-0.1952576226598755,-0.000496358875041555
37672,-0.1378652571647094,-0.0004965250028355242
37734,-0.1349241537371991,-0.0004965335161459657
37770,-0.028390851807381833,-0.0004968418871685182
37823,-0.12258785880514204,-0.0004965692247536412
37850,-0.1805929541810395,-0.0004964013233533243
37912,-0.10628924397768917,-0.0004966164026823273
37958,-0.14583074561421644,-0.0004965019459530992
38063,0.036926153478575946,-0.0004970309536045195
38161,-0.17634469367463573,-0.0004964136203572896
38241,-0.19100936215347178,-0.0004963711720455271
38321,-0.17140200597006983,-0.0004964279274484355
38376,-0.20718543100477838,-0.0004963243488381136
38456,-0.17532347720675018,-0.0004964165763678852
38492,-0.16008692750589826,-0.000496460680045557
38544,-0.174914990619596,-0.0004964177587721077
38580,-0.14452358853532296,-0.0004965057296466216
38633,-0.1357411269115075,-0.0004965311513375103
38679,-0.17266831439024785,-0.0004964242619953549
38731,-0.20028200768187226,-0.0004963443314695554
38811,-0.14525886439220054,-0.0004965036013190049
38848,-0.19864806133325544,-0.0004963490610864779
38893,-0.16984975693888382,-0.000496432420584518
